conceito,crianca,formal,limite
estado quântico,Uma receita que informa quanto de cada possibilidade participa do estado.,"Vetor complexo normalizado; em um qubit, |ψ⟩=α|0⟩+β|1⟩.",Não é uma mistura material pronta nem ignorância sobre um valor já decidido.
amplitude e probabilidade,Amplitude é a seta da receita; probabilidade é o tamanho da sombra dessa seta.,"P(i)=|αᵢ|²; amplitudes podem ter sinal e fase e, por isso, interferir.",Probabilidade não guarda toda a informação contida na amplitude complexa.
fase,"Duas crianças pulando corda podem estar no mesmo ritmo, mas em momentos opostos.","A fase relativa altera termos de interferência, embora não mude uma medição isolada em Z.",Fase não é atraso de relógio clássico; é uma relação no espaço de estados.
shots,Tirar muitas fotografias da mesma fonte para estimar o padrão que aparece.,"Repetições independentes de preparação, circuito e medição estimam probabilidades.",Cada shot não revela a amplitude nem copia um estado quântico desconhecido.
circuito,Uma partitura: cada símbolo diz o que fazer e a ordem muda a música.,"Composição ordenada de operações unitárias, seguida opcionalmente por medição.",Portas quânticas não movem objetos macroscópicos; transformam amplitudes.
entrelaçamento,"Uma coreografia conjunta cuja descrição completa pertence à dupla, não a cada dançarino.",Estado composto não separável em produto tensorial de estados locais.,Não é apenas colocar uma luva em cada envelope; isso seria correlação clássica pré-definida.
ruído,Uma coreografia executada num palco que treme e com uma câmera que às vezes lê errado.,Canais físicos alteram o estado e erros de leitura alteram o registro clássico.,Ruído quântico não é somente som ou distração; é uma transformação física modelável.
kernel quântico,Uma régua especial que compara dois objetos depois de colocá-los num mapa diferente.,"K(x,y)=|⟨φ(x)|φ(y)⟩|²; a matriz de similaridades alimenta um SVM clássico.",A régua não aprende sozinha e uma geometria mais complexa não garante melhor generalização.
CV aninhada,Treinar com simulados dentro da sala e deixar a prova final em envelope lacrado.,Folds internos selecionam hiperparâmetros; folds externos estimam generalização.,Os folds compartilham dados e não são experimentos totalmente independentes.
portão de evidência,"Um semáforo científico: observar, confirmar e só depois avançar.","Regra pré-especificada que integra efeito, incerteza, custo, replicação e hardware.",Não produz verdade automática; organiza decisões sob critérios transparentes.
